product_name,area
Entrada de empanadas,kitchen
Entrada de canastas de patacón,kitchen
Tilapia frita,kitchen
Trucha frita,kitchen
Bagre en salsa criolla,kitchen
Res a la plancha,kitchen
Pollo a la plancha,kitchen
Hamburguesa de la casa,kitchen
Chorizo,kitchen
Chicharron,kitchen
Picada para dos,kitchen
Picada familiar,kitchen
Cerdo a la plancha,kitchen
Sopa de Costilla,kitchen
Sopa de Albondiga,kitchen
Consomé de Pescado,kitchen
Nuggets de pescado,kitchen
Nuggets de pollo,kitchen
Salchipapas,kitchen
Sodas Saborizadas,kitchen
Copa de Vino,kitchen
Jugos en Agua,kitchen
Jugos en leche,kitchen
Limonadas,kitchen
Jarra de Sangría,kitchen
Jarra de Guandolo,kitchen
Malteadas,kitchen
Milo frío,kitchen
Café Americano,kitchen
Capuccino,kitchen
Cafe Latte,kitchen
Milo caliente,kitchen
Aromática de frutos,kitchen
Vino Caliente,kitchen
