name,category,total_price_with_taxes,unit_price,vat,ico,description,brand,model,sku
Cerveza Redds lata 269ml,Bebida,7000,6481.48,0%,8.00%,Cerveza Redds lata 269ml,bar,bar,BAR-CERVEZA-REDDS-LATA-269ML
Tutifrutit,Bebida,5000,4629.63,0%,8.00%,Tutifrutit,snacks,snacks,BAR-TUTIFRUTIT
Gaseosa Postobón,Bebida,5000,4629.63,0%,8.00%,Gaseosa Postobón,snacks,snacks,BAR-GASEOSA-POSTOBON
Soda Bretaña,Bebida,5000,4629.63,0%,8.00%,Soda Bretaña,snacks,snacks,BAR-SODA-BRETANA
Gaseosa Cocacola,Bebida,5000,4629.63,0%,8.00%,Gaseosa Cocacola,snacks,snacks,BAR-GASEOSA-COCACOLA
Cocacola Pet,Bebida,5000,4629.63,0%,8.00%,Cocacola Pet,snacks,snacks,BAR-COCACOLA-PET
Cocacola 1 1/2 Litro,Bebida,12000,11111.11,0%,8.00%,Cocacola 1 1/2 Litro,snacks,snacks,BAR-COCACOLA-1500ML
Postobón 1 1/2 Litro,Bebida,12000,11111.11,0%,8.00%,Postobón 1 1/2 Litro,snacks,snacks,BAR-POSTOBON-1500ML
Electrolit,Bebida,7000,6481.48,0%,8.00%,Electrolit,snacks,snacks,BAR-ELECTROLIT
Vive 100 Verde 380ml,Bebida,7000,6481.48,0%,8.00%,Vive 100 Verde 380ml,snacks,snacks,BAR-VIVE100-VERDE-380ML
Vive 100 Azul 380ml,Bebida,7000,6481.48,0%,8.00%,Vive 100 Azul 380ml,snacks,snacks,BAR-VIVE100-AZUL-380ML
Vive 100 Rojo 380ml,Bebida,7000,6481.48,0%,8.00%,Vive 100 Rojo 380ml,snacks,snacks,BAR-VIVE100-ROJO-380ML
Malta mini,Bebida,4000,3703.70,0%,8.00%,Malta mini,snacks,snacks,BAR-MALTA-MINI
Malta personal,Bebida,5000,4629.63,0%,8.00%,Malta personal,snacks,snacks,BAR-MALTA-PERSONAL
Agua saborizada H20,Bebida,5000,4629.63,0%,8.00%,Agua saborizada H20,snacks,snacks,BAR-AGUA-SABORIZADA-H20
Agua Cristal Personal 600ml,Bebida,3000,2777.78,0%,8.00%,Agua Cristal Personal 600ml,snacks,snacks,BAR-AGUA-CRISTAL-600ML
Agua Brisa Personal 600ml,Bebida,3000,2777.78,0%,8.00%,Agua Brisa Personal 600ml,snacks,snacks,BAR-AGUA-BRISA-600ML
Gatorade,Bebida,9000,8333.33,0%,8.00%,Gatorade,snacks,snacks,BAR-GATORADE
Hit 500 ml,Bebida,5000,4629.63,0%,8.00%,Hit 500 ml,snacks,snacks,BAR-HIT-500ML
Saviloe 420ml,Bebida,8000,7407.41,0%,8.00%,Saviloe 420ml,snacks,snacks,BAR-SAVILOE-420ML
Cerveza Club Colombia Latón,Cerveza,9000,8333.33,0%,8.00%,Cerveza Club Colombia Latón,bar,bar,BAR-CERVEZA-CLUB-COLOMBIA-LATON
Cerveza Pilsen Latón,Cerveza,9000,8333.33,0%,8.00%,Cerveza Pilsen Latón,bar,bar,BAR-CERVEZA-PILSEN-LATON
Cerveza Aguila Latón,Cerveza,9000,8333.33,0%,8.00%,Cerveza Aguila Latón,bar,bar,BAR-CERVEZA-AGUILA-LATON
Cerveza Aguila Light Latón,Cerveza,9000,8333.33,0%,8.00%,Cerveza Aguila Light Latón,bar,bar,BAR-CERVEZA-AGUILA-LIGHT-LATON
Cerveza Redds,Cerveza,8000,7407.41,0%,8.00%,Cerveza Redds,bar,bar,BAR-CERVEZA-REDDS-BOTELLA
Club Colombia 330ml,Cerveza,8000,7407.41,0%,8.00%,Club Colombia 330ml,bar,bar,BAR-CLUB-COLOMBIA-330ML
Corona 330ml,Cerveza,10000,9259.26,0%,8.00%,Corona 330ml,bar,bar,BAR-CORONA-330ML
Cerveza Poker 330ml,Cerveza,8000,7407.41,0%,8.00%,Cerveza Poker 330ml,bar,bar,BAR-CERVEZA-POKER-330ML
Cerveza Aguila Light 330ml,Cerveza,8000,7407.41,0%,8.00%,Cerveza Aguila Light 330ml,bar,bar,BAR-CERVEZA-AGUILA-LIGHT-330ML
Cerverza Aguila Negra 330ml,Cerveza,8000,7407.41,0%,8.00%,Cerverza Aguila Negra 330ml,bar,bar,BAR-CERVEZA-AGUILA-NEGRA-330ML
Malta Vidrio,Bebida,5000,4629.63,0%,8.00%,Malta Vidrio,snacks,snacks,BAR-MALTA-VIDRIO
Cola Y pola,Bebida,8000,7407.41,0%,8.00%,Cola Y pola,snacks,snacks,BAR-COLA-Y-POLA
Cerveza Pilsen 330ml,Cerveza,8000,7407.41,0%,8.00%,Cerveza Pilsen 330ml,bar,bar,BAR-CERVEZA-PILSEN-330ML
Caja Ron Medellín 1L Tetrapack,Licor,110000,101851.85,0%,8.00%,Caja Ron Medellín 1L Tetrapack,bar,bar,BAR-RON-MEDELLIN-1L-TETRAPACK
Caja Tetra pack Aguardiente 1L,Licor,110000,101851.85,0%,8.00%,Caja Tetra pack Aguardiente 1L,bar,bar,BAR-AGUARDIENTE-1L-TETRAPACK
Aguardiente 1/2 tapa azul,Licor,60000,55555.56,0%,8.00%,Aguardiente 1/2 tapa azul,bar,bar,BAR-AGUARDIENTE-MEDIA-TAPA-AZUL
Aguardiente 1/2 tapa roja,Licor,60000,55555.56,0%,8.00%,Aguardiente 1/2 tapa roja,bar,bar,BAR-AGUARDIENTE-MEDIA-TAPA-ROJA
Aguardiente 1/2 tapa verde,Licor,60000,55555.56,0%,8.00%,Aguardiente 1/2 tapa verde,bar,bar,BAR-AGUARDIENTE-MEDIA-TAPA-VERDE
Botella Aguardiente tapa roja 750ml,Licor,90000,83333.33,0%,8.00%,Botella Aguardiente tapa roja 750ml,bar,bar,BAR-AGUARDIENTE-BOTELLA-TAPA-ROJA-750ML
Botella Aguardiente tapa azul 750ml,Licor,90000,83333.33,0%,8.00%,Botella Aguardiente tapa azul 750ml,bar,bar,BAR-AGUARDIENTE-BOTELLA-TAPA-AZUL-750ML
Botella Ron viejo de caldas 750ml,Licor,90000,83333.33,0%,8.00%,Botella Ron viejo de caldas 750ml,bar,bar,BAR-RON-VIEJO-CALDAS-750ML
Brandi 1/2,Licor,70000,64814.81,0%,8.00%,Brandi 1/2,bar,bar,BAR-BRANDI-MEDIA
Ron Medellin 3 años 1/2L Botella 375ml,Licor,60000,55555.56,0%,8.00%,Ron Medellin 3 años 1/2L Botella 375ml,bar,bar,BAR-RON-MEDELLIN-3ANOS-375ML
"Ron viejo de Caldas Azul, licor Especial",Licor,60000,55555.56,0%,8.00%,"Ron viejo de Caldas Azul, licor Especial",bar,bar,BAR-RON-VIEJO-CALDAS-AZUL-ESPECIAL
Ron viejo de caldas 375ml,Licor,60000,55555.56,0%,8.00%,Ron viejo de caldas 375ml,bar,bar,BAR-RON-VIEJO-CALDAS-375ML
Ron Medellin 8 años 1/2,Licor,60000,55555.56,0%,8.00%,Ron Medellin 8 años 1/2,bar,bar,BAR-RON-MEDELLIN-8ANOS-MEDIA
Old Par,Licor,120000,111111.11,0%,8.00%,Old Par,bar,bar,BAR-OLD-PAR
Bucanas,Licor,120000,111111.11,0%,8.00%,Bucanas,bar,bar,BAR-BUCANAS
Ron Medellin 8 años Botella 750 ml,Licor,110000,101851.85,0%,8.00%,Ron Medellin 8 años Botella 750 ml,bar,bar,BAR-RON-MEDELLIN-8ANOS-750ML
Jose Cuervo Tequila Botella,Licor,110000,101851.85,0%,8.00%,Jose Cuervo Tequila Botella,bar,bar,BAR-JOSE-CUERVO-TEQUILA
Bailies,Licor,110000,101851.85,0%,8.00%,Bailies,bar,bar,BAR-BAILIES
Botella Aguardiente Tapa Verde 750ml,Licor,90000,83333.33,0%,8.00%,Botella Aguardiente Tapa Verde 750ml,bar,bar,BAR-AGUARDIENTE-BOTELLA-TAPA-VERDE-750ML
Aguardiente Botella Tapa Azul 1L,Licor,110000,101851.85,0%,8.00%,Aguardiente Botella Tapa Azul 1L,bar,bar,BAR-AGUARDIENTE-BOTELLA-TAPA-AZUL-1L
